Frames,Emotion
0,Surprised
1,Surprised
2,Surprised
3,Surprised
4,Surprised
5,Happy
6,Happy
7,Happy
8,Neutral
9,Neutral
10,Happy
11,Neutral
12,Happy
13,Happy
14,Happy
15,Happy
16,Neutral
17,Neutral
18,Neutral
19,Neutral
20,Neutral
21,Neutral
22,Neutral
23,Neutral
24,Fearful
25,Neutral
26,Neutral
27,Neutral
28,Neutral
29,Neutral
30,Neutral
31,Neutral
32,Neutral
33,Neutral
34,Neutral
35,Neutral
36,Neutral
37,Neutral
38,Neutral
39,Neutral
40,Neutral
41,Neutral
42,Neutral
43,Happy
44,Neutral
45,Neutral
46,Neutral
47,Neutral
48,Neutral
49,Neutral
50,Neutral
51,Neutral
52,Neutral
53,Neutral
54,Neutral
55,Neutral
56,Neutral
57,Neutral
58,Neutral
59,Neutral
60,Neutral
61,Neutral
62,Neutral
63,Neutral
64,Neutral
65,Neutral
66,Happy
67,Neutral
68,Neutral
69,Neutral
70,Neutral
71,Neutral
72,Happy
73,Happy
74,Happy
75,Happy
76,Happy
77,Happy
78,Happy
79,Happy
80,Happy
81,Happy
82,Happy
83,Happy
84,Happy
85,Happy
86,Happy
87,Happy
88,Happy
89,Happy
90,Happy
91,Happy
92,Happy
93,Happy
94,Happy
95,Happy
96,Happy
97,Happy
98,Neutral
99,Happy
100,Happy
101,Neutral
102,Neutral
103,Neutral
104,Neutral
105,Happy
106,Happy
107,Happy
108,Neutral
109,Happy
110,Happy
111,Happy
112,Happy
113,Happy
114,Neutral
115,Neutral
116,Neutral
117,Neutral
118,Neutral
119,Neutral
120,Neutral
121,Neutral
122,Neutral
123,Neutral
124,Neutral
125,Happy
126,Neutral
127,Neutral
128,Neutral
129,Neutral
130,Happy
131,Happy
132,Happy
133,Happy
134,Happy
135,Happy
136,Happy
137,Happy
138,Happy
139,Happy
140,Happy
141,Happy
142,Happy
143,Happy
144,Happy
145,Happy
146,Happy
147,Happy
148,Happy
149,Happy
