Frames,Emotion,Emotion_Value
0,Surprised,2
1,Surprised,2
2,Surprised,2
3,Surprised,2
4,Surprised,2
5,Happy,3
6,Happy,3
7,Happy,3
8,Neutral,0
9,Neutral,0
10,Happy,3
11,Neutral,0
12,Happy,3
13,Happy,3
14,Happy,3
15,Happy,3
16,Neutral,0
17,Neutral,0
18,Neutral,0
19,Neutral,0
20,Neutral,0
21,Neutral,0
22,Neutral,0
23,Neutral,0
24,Fearful,-1
25,Neutral,0
26,Neutral,0
27,Neutral,0
28,Neutral,0
29,Neutral,0
30,Neutral,0
31,Neutral,0
32,Neutral,0
33,Neutral,0
34,Neutral,0
35,Neutral,0
36,Neutral,0
37,Neutral,0
38,Neutral,0
39,Neutral,0
40,Neutral,0
41,Neutral,0
42,Neutral,0
43,Happy,3
44,Neutral,0
45,Neutral,0
46,Neutral,0
47,Neutral,0
48,Neutral,0
49,Neutral,0
50,Neutral,0
51,Neutral,0
52,Neutral,0
53,Neutral,0
54,Neutral,0
55,Neutral,0
56,Neutral,0
57,Neutral,0
58,Neutral,0
59,Neutral,0
60,Neutral,0
61,Neutral,0
62,Neutral,0
63,Neutral,0
64,Neutral,0
65,Neutral,0
66,Happy,3
67,Neutral,0
68,Neutral,0
69,Neutral,0
70,Neutral,0
71,Neutral,0
72,Happy,3
73,Happy,3
74,Happy,3
75,Happy,3
76,Happy,3
77,Happy,3
78,Happy,3
79,Happy,3
80,Happy,3
81,Happy,3
82,Happy,3
83,Happy,3
84,Happy,3
85,Happy,3
86,Happy,3
87,Happy,3
88,Happy,3
89,Happy,3
90,Happy,3
91,Happy,3
92,Happy,3
93,Happy,3
94,Happy,3
95,Happy,3
96,Happy,3
97,Happy,3
98,Neutral,0
99,Happy,3
100,Happy,3
101,Neutral,0
102,Neutral,0
103,Neutral,0
104,Neutral,0
105,Happy,3
106,Happy,3
107,Happy,3
108,Neutral,0
109,Happy,3
110,Happy,3
111,Happy,3
112,Happy,3
113,Happy,3
114,Neutral,0
115,Neutral,0
116,Neutral,0
117,Neutral,0
118,Neutral,0
119,Neutral,0
120,Neutral,0
121,Neutral,0
122,Neutral,0
123,Neutral,0
124,Neutral,0
125,Happy,3
126,Neutral,0
127,Neutral,0
128,Neutral,0
129,Neutral,0
130,Happy,3
131,Happy,3
132,Happy,3
133,Happy,3
134,Happy,3
135,Happy,3
136,Happy,3
137,Happy,3
138,Happy,3
139,Happy,3
140,Happy,3
141,Happy,3
142,Happy,3
143,Happy,3
144,Happy,3
145,Happy,3
146,Happy,3
147,Happy,3
148,Happy,3
149,Happy,3
